"frame","x1","x2","y1","y2","confidence","objectId","cls","cls_conf"
0,124.8,323.0,496.2,615.9,0.99,1,car,0.99
0,669.2,841.0,477.3,566.6,0.98,2,car,1.0
0,933.9,963.8,467.7,492.6,0.93,3,car,0.99
0,978.5,1063.8,449.6,516.9,0.91,3,car,0.97
0,827.9,869.7,477.5,504.4,0.83,4,car,0.99
0,964.2,1276.6,431.2,666.8,0.9,5,car,0.88
1,81.9,341.5,494.0,614.2,0.99,5,car,1.0
1,681.6,843.5,477.0,561.8,0.99,5,car,0.99
1,932.3,965.2,467.1,492.3,0.94,5,car,0.99
1,979.2,1068.9,447.6,516.9,0.98,5,car,0.95
1,966.0,1280.5,433.5,662.6,0.95,5,car,0.91
1,826.5,870.6,475.5,502.8,0.83,5,car,1.0
2,121.7,366.5,498.4,614.1,1.0,5,car,1.0
2,691.5,845.0,478.7,560.5,1.0,5,car,0.99
2,932.9,964.8,467.2,491.6,0.95,5,car,0.99
2,968.2,1279.3,427.3,665.8,0.93,5,car,0.91
2,983.5,1066.2,448.3,507.4,0.81,5,car,0.97
3,105.2,386.2,496.2,615.8,1.0,5,car,1.0
3,706.4,865.3,475.8,559.3,0.99,5,car,0.99
3,933.0,962.8,467.6,490.8,0.92,5,car,0.99
3,968.7,1280.3,429.9,671.7,0.95,5,car,0.91
4,104.3,398.0,496.5,616.0,1.0,5,car,1.0
4,711.3,866.0,473.1,557.2,0.99,5,car,0.99
4,934.0,962.9,468.0,490.2,0.94,5,car,0.99
4,968.3,1280.3,431.0,670.3,0.94,5,car,0.9
5,127.0,423.0,497.3,617.0,1.0,5,car,1.0
5,716.1,865.2,472.0,558.4,1.0,5,car,0.99
5,933.9,965.0,467.1,490.8,0.93,5,car,0.99
5,984.7,1066.5,449.7,505.1,0.81,5,car,0.95
5,971.3,1281.2,430.4,667.3,0.9,5,car,0.81
6,144.0,436.9,499.6,619.1,1.0,5,car,1.0
6,721.5,881.5,471.1,558.5,1.0,5,car,0.99
6,976.8,1013.0,457.4,492.0,0.96,5,car,0.99
6,932.9,965.3,467.3,490.8,0.95,5,car,0.99
6,970.1,1279.5,431.8,669.0,0.95,5,car,0.93
7,136.1,458.2,501.2,613.6,1.0,5,car,1.0
7,735.9,882.1,469.3,556.3,1.0,5,car,0.99
7,977.3,1014.2,456.0,492.4,0.97,5,car,0.99
7,933.6,966.3,467.1,491.1,0.95,5,car,0.99
7,967.6,1277.4,430.7,670.2,0.94,5,car,0.9
7,1011.1,1072.6,445.3,510.6,0.88,6,car,0.93
8,133.4,472.9,502.3,616.9,1.0,6,car,1.0
8,749.3,878.5,470.1,549.5,1.0,6,car,0.99
8,977.4,1017.1,456.7,491.4,0.98,6,car,0.99
8,933.8,966.0,467.5,491.2,0.95,6,car,0.99
8,969.0,1277.0,431.1,668.5,0.92,6,car,0.87
8,1017.1,1074.0,446.7,505.9,0.83,7,car,0.92
9,164.9,507.7,505.8,615.0,1.0,7,car,1.0
9,978.6,1020.7,456.2,491.6,0.98,7,car,0.99
9,749.9,881.5,469.7,549.5,1.0,7,car,0.97
9,933.6,966.9,467.5,491.2,0.95,7,car,0.99
9,1019.0,1075.8,446.3,505.1,0.87,8,car,0.94
9,966.3,1273.8,426.4,671.8,0.93,8,car,0.86
10,177.1,513.2,504.2,612.8,1.0,8,car,1.0
10,757.4,882.7,470.1,548.6,1.0,8,car,0.99
10,978.7,1020.0,455.8,492.8,0.98,8,car,0.99
10,934.4,966.8,467.1,490.8,0.94,8,car,0.99
10,1021.0,1074.5,447.3,505.3,0.92,9,car,0.96
10,968.3,1272.0,423.7,673.5,0.92,9,car,0.87
11,190.1,524.6,502.6,617.0,1.0,9,car,1.0
11,773.5,896.6,468.7,544.6,1.0,9,car,0.99
11,977.7,1020.8,454.9,492.8,0.97,9,car,0.98
11,935.1,966.8,467.3,491.4,0.92,9,car,0.99
11,971.7,1272.9,419.7,675.5,0.9,9,car,0.79
12,212.4,565.8,503.2,616.7,1.0,9,car,1.0
12,777.0,896.2,468.2,546.4,1.0,9,car,0.99
12,979.9,1022.8,454.2,492.6,0.98,9,car,0.97
12,935.1,966.9,467.4,491.2,0.93,9,car,0.99
12,970.4,1273.5,423.8,674.5,0.91,9,car,0.82
13,231.9,558.4,502.8,613.5,1.0,9,car,1.0
13,783.8,889.7,469.7,545.0,0.99,9,car,0.99
13,980.6,1022.9,455.7,492.0,0.98,9,car,0.98
13,934.9,965.2,467.4,490.6,0.93,9,car,0.99
13,971.2,1271.2,419.4,674.8,0.89,9,car,0.73
14,256.9,587.8,504.5,614.5,1.0,9,car,1.0
14,786.5,889.3,470.5,544.2,1.0,9,car,0.99
14,981.4,1022.9,455.9,490.5,0.99,9,car,0.99
14,934.9,967.8,466.1,491.6,0.96,9,car,0.99
14,969.9,1271.0,419.6,679.7,0.91,9,car,0.84
15,273.8,608.4,502.4,613.1,1.0,9,car,1.0
15,980.9,1021.7,457.1,489.6,0.99,9,car,0.99
15,791.9,888.3,471.8,542.8,1.0,9,car,0.99
15,934.4,965.3,467.0,490.9,0.96,9,car,0.99
15,123.0,202.0,513.9,580.7,0.84,10,car,1.0
15,966.4,1272.0,416.8,678.2,0.81,10,car,0.67
16,284.3,605.0,501.5,613.4,1.0,10,car,1.0
16,982.0,1020.8,458.0,489.1,0.98,10,car,0.99
16,802.0,890.2,472.8,539.1,0.99,10,car,0.98
16,934.0,965.6,467.3,491.1,0.95,10,car,0.99
16,125.3,212.7,507.0,580.8,0.87,10,car,0.99
16,968.0,1271.8,416.3,677.9,0.87,10,car,0.77
17,301.1,616.1,500.8,616.4,1.0,10,car,1.0
17,809.4,903.3,471.7,537.8,1.0,10,car,0.99
17,980.5,1021.3,456.6,490.5,0.99,10,car,0.99
17,119.2,228.4,504.1,585.0,0.97,10,car,0.99
17,932.6,965.5,467.2,490.8,0.95,10,car,1.0
17,968.0,1270.4,416.5,676.0,0.82,10,car,0.64
18,327.6,649.0,500.7,613.5,1.0,10,car,1.0
18,809.9,904.5,471.3,538.0,1.0,10,car,0.99
18,125.2,240.6,499.2,586.1,0.98,10,car,0.99
18,981.6,1021.1,455.9,491.0,0.99,10,car,0.99
18,932.1,966.5,467.0,491.9,0.94,10,car,0.99
18,968.3,1269.8,420.3,674.4,0.83,10,car,0.78
19,340.1,645.1,500.6,611.8,1.0,10,car,1.0
19,814.2,910.2,468.4,535.1,0.99,10,car,0.99
19,981.7,1020.8,455.7,490.3,0.99,10,car,0.98
19,104.8,255.9,500.8,589.4,0.98,10,car,0.99
19,934.1,967.8,467.4,491.3,0.94,10,car,1.0
19,968.4,1272.2,419.6,678.1,0.87,10,car,0.85
20,108.1,264.3,500.6,588.1,1.0,10,car,1.0
20,358.2,639.1,499.6,613.4,1.0,10,car,0.99
20,982.0,1021.0,455.9,490.5,0.99,10,car,0.99
20,816.4,911.0,468.9,533.1,0.98,10,car,0.99
20,934.5,969.5,467.1,491.9,0.94,10,car,1.0
20,968.3,1270.3,418.5,679.9,0.87,10,car,0.83
21,384.5,692.9,501.9,611.1,1.0,10,car,1.0
21,109.4,275.1,498.8,587.3,1.0,10,car,1.0
21,817.2,913.4,468.7,533.4,1.0,10,car,0.99
21,982.4,1019.4,458.1,490.3,0.99,10,car,0.99
21,936.8,968.3,466.6,491.2,0.93,10,car,0.99
21,972.6,1268.9,418.9,680.3,0.84,10,car,0.75
22,96.5,293.1,500.4,587.0,1.0,10,car,1.0
22,389.0,695.0,501.8,610.7,1.0,10,car,1.0
22,982.6,1020.6,457.4,489.7,0.99,10,car,0.99
22,820.5,910.2,469.4,532.0,0.99,10,car,0.99
22,937.9,969.5,466.6,490.5,0.91,10,car,1.0
23,94.0,302.3,498.6,588.3,1.0,10,car,1.0
23,404.2,692.3,500.5,610.5,1.0,10,car,1.0
23,828.7,924.8,465.8,529.5,0.99,10,car,0.98
23,983.5,1021.4,456.7,489.7,0.98,10,car,0.99
23,937.3,970.6,466.8,491.9,0.93,10,car,0.99
23,972.9,1266.7,416.3,678.8,0.81,10,car,0.75
24,114.2,313.9,497.9,588.6,1.0,10,car,1.0
24,435.8,720.8,499.5,607.8,1.0,10,car,1.0
24,829.9,927.7,465.8,530.3,0.99,10,car,0.99
24,984.4,1021.7,456.4,490.6,0.99,10,car,0.99
24,935.7,970.6,466.3,491.6,0.96,10,car,1.0
25,115.9,328.5,498.8,589.6,1.0,10,car,1.0
25,447.6,731.5,501.6,608.5,1.0,10,car,1.0
25,838.5,927.5,468.3,526.9,0.99,10,car,0.99
25,983.9,1022.2,456.6,489.8,0.99,10,car,0.99
25,937.7,971.5,466.2,491.1,0.96,10,car,1.0
26,130.4,354.2,500.4,590.0,1.0,10,car,1.0
26,474.0,726.9,498.8,605.6,1.0,10,car,0.99
26,991.0,1025.4,456.1,488.0,0.98,10,car,0.99
26,938.3,970.3,466.3,490.4,0.97,10,car,1.0
26,844.2,918.9,467.9,526.7,0.98,10,car,0.98
26,455.3,546.2,501.3,582.4,0.9,10,car,1.0
26,972.1,1270.5,416.6,681.4,0.85,10,car,0.78
27,131.3,359.5,502.6,592.5,1.0,10,car,1.0
27,486.6,753.2,499.3,608.5,1.0,10,car,1.0
27,990.7,1026.0,456.7,488.0,0.98,10,car,0.99
27,936.9,971.2,465.8,489.5,0.96,10,car,1.0
27,841.6,928.6,468.1,525.3,0.98,10,car,0.98
27,973.4,1271.3,416.0,680.5,0.81,10,car,0.77
28,129.3,369.0,504.9,598.0,1.0,10,car,1.0
28,508.2,755.4,496.6,602.8,1.0,10,car,1.0
28,990.8,1026.0,456.1,487.0,0.98,10,car,1.0
28,938.2,971.8,465.2,489.0,0.96,10,car,1.0
28,844.0,927.0,469.8,525.1,0.95,10,car,0.97
29,135.2,370.2,506.6,596.3,1.0,10,car,1.0
29,519.4,761.2,487.7,599.2,1.0,10,car,0.99
29,990.3,1026.3,456.4,488.1,0.98,10,car,1.0
29,853.3,934.1,466.0,521.5,0.98,10,car,0.98
29,940.0,970.9,466.4,489.6,0.95,10,car,1.0
29,501.1,591.7,497.9,580.9,0.87,10,car,0.99
30,137.8,380.2,507.2,597.2,1.0,10,car,1.0
30,531.4,761.6,484.7,595.9,1.0,10,car,0.99
30,991.1,1025.4,456.8,488.1,0.98,10,car,0.99
30,940.9,970.8,465.8,489.6,0.96,10,car,0.99
30,904.8,940.6,467.8,512.5,0.9,10,car,0.99
30,857.3,922.6,464.6,522.6,0.95,10,car,0.94
31,163.1,411.1,507.3,596.5,1.0,10,car,1.0
31,565.6,805.7,486.7,590.2,1.0,10,car,0.99
31,990.7,1025.8,455.9,487.7,0.98,11,car,0.99
31,940.4,969.4,465.6,488.2,0.96,11,car,1.0
31,860.4,929.1,466.0,521.3,0.96,11,car,0.98
31,903.4,942.2,465.8,512.5,0.85,11,car,0.99
32,167.0,424.2,508.9,598.7,1.0,11,car,1.0
32,573.5,805.2,484.9,586.0,1.0,11,car,0.99
32,862.0,932.1,466.7,522.6,0.99,11,car,0.99
32,990.3,1026.4,455.5,488.5,0.98,12,car,0.99
32,939.9,968.2,466.2,488.4,0.95,12,car,1.0
32,547.0,646.4,492.9,578.5,0.9,12,car,0.99
33,176.4,428.1,507.7,597.8,1.0,12,car,1.0
33,577.2,803.6,483.7,585.1,1.0,12,car,0.98
33,990.6,1026.1,456.4,487.6,0.97,12,car,0.99
33,865.2,932.1,466.4,521.9,0.97,12,car,0.98
33,941.1,967.4,466.6,489.7,0.96,12,car,1.0
34,188.2,451.1,509.8,599.3,1.0,12,car,1.0
34,593.4,823.1,481.1,581.3,1.0,12,car,0.99
34,990.8,1025.6,455.9,487.5,0.98,12,car,0.99
34,865.9,935.5,465.4,520.9,0.99,12,car,0.98
34,939.0,966.7,465.8,490.1,0.95,12,car,1.0
34,972.5,1270.5,427.5,678.1,0.8,12,car,0.78
35,207.4,468.9,509.8,597.6,1.0,12,car,1.0
35,630.6,832.4,481.6,575.7,0.99,12,car,0.98
35,991.1,1025.0,456.5,487.0,0.96,12,car,0.99
35,867.6,935.3,465.6,520.7,0.97,12,car,0.97
35,937.4,964.0,466.0,489.0,0.9,12,car,1.0
35,589.7,678.3,493.6,564.8,0.8,12,car,0.99
36,212.1,476.6,510.0,599.0,1.0,12,car,1.0
36,626.6,845.1,480.9,576.2,1.0,12,car,0.99
36,991.6,1024.9,457.5,486.7,0.97,12,car,1.0
36,867.1,936.7,466.6,518.9,0.95,13,car,0.98
36,938.0,964.3,466.9,489.5,0.9,13,car,1.0
37,219.7,479.2,507.8,597.8,1.0,13,car,1.0
37,623.8,849.9,476.9,579.9,1.0,13,car,0.99
37,991.1,1024.9,457.6,486.8,0.96,13,car,1.0
37,870.1,935.8,464.9,518.5,0.94,13,car,0.94
37,937.6,963.0,466.0,488.2,0.88,13,car,1.0
38,236.6,506.3,509.3,599.4,1.0,13,car,1.0
38,627.4,849.8,479.3,577.2,1.0,13,car,0.99
38,992.0,1024.0,457.8,486.7,0.96,13,car,1.0
38,875.7,932.5,466.5,517.5,0.94,14,car,0.95
38,937.5,961.8,465.7,487.8,0.85,14,car,1.0
38,967.5,1272.6,432.3,672.7,0.82,14,car,0.78
39,257.1,520.7,509.8,596.9,1.0,14,car,1.0
39,640.9,843.4,476.1,576.2,1.0,14,car,1.0
39,991.9,1024.6,457.2,486.7,0.96,14,car,0.99
39,878.0,942.9,465.7,517.7,0.94,15,car,0.98
39,937.7,963.5,465.9,490.1,0.82,15,car,1.0
39,965.9,1272.1,432.0,669.2,0.83,15,car,0.83
40,258.9,528.2,509.4,599.2,1.0,15,car,1.0
40,644.0,846.7,477.1,573.5,1.0,15,car,1.0
40,991.0,1025.8,456.9,485.9,0.96,15,car,1.0
40,877.2,943.5,465.3,516.9,0.9,16,car,0.98
40,934.3,962.5,464.4,491.6,0.85,16,car,1.0
40,966.3,1272.8,432.6,667.2,0.9,16,car,0.92
41,268.7,533.1,508.5,598.2,1.0,16,car,1.0
41,661.6,871.5,477.1,574.2,1.0,16,car,1.0
41,991.3,1025.4,456.8,486.4,0.96,16,car,0.99
41,877.9,945.1,465.3,518.2,0.97,17,car,0.97
41,934.9,961.6,462.7,491.2,0.88,17,car,0.99
41,967.7,1273.6,433.4,667.2,0.9,17,car,0.93
42,288.0,556.8,510.8,598.9,1.0,17,car,1.0
42,667.7,869.3,478.4,572.9,1.0,17,car,0.99
42,992.1,1024.4,456.9,485.7,0.97,17,car,0.99
42,886.9,945.7,463.4,517.8,0.96,18,car,0.93
42,935.7,960.5,463.5,489.4,0.86,18,car,0.99
42,969.0,1273.6,433.8,666.3,0.86,18,car,0.91
43,306.4,569.4,508.1,598.1,1.0,18,car,1.0
43,680.6,884.8,477.2,570.3,1.0,18,car,0.99
43,990.9,1025.2,456.9,485.6,0.96,18,car,0.99
43,936.1,961.9,463.6,490.8,0.87,18,car,0.99
43,967.2,1272.6,429.5,669.4,0.89,18,car,0.95
43,890.7,945.4,465.7,515.3,0.89,18,car,0.92
44,311.9,575.4,508.5,599.7,1.0,18,car,1.0
44,695.7,873.3,476.4,568.7,1.0,18,car,0.99
44,989.5,1026.6,456.8,485.8,0.97,19,car,1.0
44,935.2,963.1,463.2,490.5,0.87,19,car,0.99
44,970.4,1273.0,427.7,673.9,0.89,19,car,0.91
44,863.5,943.9,468.5,517.3,0.85,20,car,0.91
45,322.7,585.0,507.8,598.7,1.0,20,car,1.0
45,702.1,877.4,474.3,564.9,1.0,20,car,0.99
45,990.5,1025.0,457.1,485.5,0.96,20,car,1.0
45,863.6,941.8,466.3,515.7,0.9,20,car,0.94
45,935.0,961.3,463.5,491.3,0.82,20,car,0.99
45,970.4,1272.2,430.4,675.3,0.89,20,car,0.9
46,335.2,607.0,508.1,599.5,1.0,20,car,1.0
46,711.9,888.0,473.9,560.1,0.99,20,car,0.99
46,990.0,1026.0,456.4,486.0,0.95,20,car,0.99
46,867.1,945.0,467.9,514.1,0.93,20,car,0.97
46,962.3,1271.9,426.2,675.1,0.86,20,car,0.94
47,354.6,622.8,506.0,596.1,1.0,20,car,1.0
47,730.5,875.3,474.5,558.5,0.99,20,car,0.99
47,989.0,1026.6,456.5,485.5,0.96,20,car,1.0
47,884.8,952.9,465.5,516.4,0.9,20,car,0.99
48,362.6,623.1,508.3,597.7,1.0,20,car,1.0
48,738.2,887.2,475.6,557.9,1.0,20,car,1.0
48,989.1,1026.3,456.6,486.3,0.98,20,car,0.99
48,881.3,946.1,469.1,513.0,0.83,20,car,0.99
49,372.6,628.2,507.9,595.1,1.0,20,car,1.0
49,744.9,887.0,471.9,558.1,1.0,20,car,0.99
49,988.8,1026.7,456.6,486.4,0.98,20,car,0.99
49,888.1,954.3,467.3,513.0,0.92,20,car,0.98
50,388.6,648.0,503.4,588.9,1.0,20,car,1.0
50,765.3,883.8,475.4,551.6,0.99,20,car,0.99
50,989.7,1025.9,456.6,486.4,0.96,20,car,0.99
50,888.2,953.6,467.2,513.3,0.93,20,car,1.0
